subject,diet,test,SSS
A,chicken,pre,18
B,chicken,pre,13
C,chicken,pre,18
D,chicken,pre,15
E,chicken,pre,22
F,chicken,pre,32
G,chicken,pre,31
H,chicken,pre,24
I,chicken,pre,15
A,chicken,post,15
B,chicken,post,13
C,chicken,post,17
D,chicken,post,15
E,chicken,post,24
F,chicken,post,31
G,chicken,post,31
H,chicken,post,25
I,chicken,post,17
J,pasta,pre,17
K,pasta,pre,30
L,pasta,pre,18
M,pasta,pre,13
N,pasta,pre,23
O,pasta,pre,27
P,pasta,pre,27
Q,pasta,pre,24
R,pasta,pre,23
J,pasta,post,19
K,pasta,post,31
L,pasta,post,18
M,pasta,post,13
N,pasta,post,24
O,pasta,post,27
P,pasta,post,26
Q,pasta,post,28
R,pasta,post,26